userName,score,content
Ibrahim Musa Gamba Kofar Bai,5,I was recently attended the Consultation Meeting on Framework for Climate Literacy Education to School Children's and Youth in Nigeria to control climate change by Unicep.That is why I download this application to act
Torbem Victory GBEM,5,Taking action for sustainable development requires great responsibility. You first have to understand WHY? AWorld is an essential tool to set you on course for a deliberate and effective action.
Anita Riley,4,I find this app very interesting. It's more than just recycling or going green. It's about the actions you take and a whole lot more.
Saurabh Saxena,4,"I'm unable to open the ""accept the mission"" in the climate action module, could anyone help with this?"
Laurton Mcgurk,1,Gamification and meditation.... feel good greenwash for middleclass kiddies unable to function without a device. Uninstalled.
Ismail Isah,5,"it's amazing App, thought of the mind, it will shape your ideas to the green environment and reduce emission."
Asra Fatima,5,A superb application for every individual to get awareness on how to live a sustainable life with a sustainable environment ☺️
Mitzi Garachico,5,I definitely recommend this app!
Ismail Isah,5,it's so amazing with tips that supports green and better environment for living
Unat Soluta,5,This is a fun way of knowing the conditions of the environment. Everyone should be on it
isaac muiruri,4,"wonderful self assessment, it is helping me in my master project on environmental awareness and responses in Nairobi"
SREENIVASAREDDY MORA,5,Amazing concept and hats off to app admin for their vision to sustain global eco friendly environment and to pass on some thing good earth to future generations.
Rubean Salin Thomas,5,Do it for our Planet.
J Vaibhav,5,Take care Of our planet 🌏 🎯Every one of us can make a difference. 🙏🏻 Our choices matter. Our actions count.
Wilmer Guadron,5,an amazing way to promote sustainability
Oriloye O Joshua,5,"Oriloye O Joshua... This Global Climate Action Apps... Schools should be encouraged to explore the rich resources contained in the App, to allow schools's participation ."
Stevie Harison,5,So inspiring and engaging! Almost perfect app for sustainability and impact measurements. Just filled out the questionnaire. Hope it will be improved in near future.
Rtn. Hitesh S. Mehta,5,very good for world and nature
Ashu Singh,5,awesome makes one with world proud to be part of this initiative to save the planet humanity and all existence
Bipul Biswas,5,save environment and embarrassment
Chris English,5,"AWorld is an excellent, lively, rewarding, educational experience to uplift everyone and preserve our planet."
Kodi Karmarznuk,5,helpful tool to support a sustainable lifestyle
Ajaysingh Rajpurohit,5,climate action beat app
Kaviya Raja,5,"As a student willing to make a change in this world, this app permits me to do exactly that. Make a change by Being the change. SDGs are extremely important for sustainability and they are more than achievable if each and everyone of us put in minimal efforts to change how we conduct ourselves in our everyday lives. This could start from tiny yet significant deeds like keeping the taps off while brushing your teeth and then proceed to the bigger deeds. This app tracks all your contributions!"
AB XYZ,5,easy to use. It got list of our daily activities that we normally do everyday. Very simple life habits makes a big difference once we pay attention. This is a excellent app for you to know how much you can contribute to change the climate just by clicking the buttons.
tony xavier xavier,5,Excellent app for achieving sustainability and personal success.
babilas fikiri,5,better app for climate
Aswile Mwangobola,2,environmental
Sharmin Banu M S,5,Cute application towards environmental protection actions towards Better world frame work.
Christina Lynn Parsley,5,Saw a shooting star last night. Its time to recycle reduce and reuse.
Salvo Ciccia,5,Best way to become aware of our impact on our planet
Sofia Uribe,5,"I love the app it really helps me to track my daily actions to help our planet, and I really enjoy all the journeys and mini quizzes that it includes it's really fun, the only thing is that it doesn't let me to share and I don't know why"
Francesca Ortiz,5,It keeps me on track to help maintain a better planet.
Samer Tallauze,5,Thanks for the opportunity. Helpful. Would be great if we could donate points earned to environmental charities. Best wishes
Bron J Paul,5,A must usable app by everyone in the world as a contribution to our mother nature
Jin Goh,2,"It is a good idea but I would like to have an app that measures my ecological footprint and then let me know where I can cut back most efficiently. It would also be good to know when I have reached my goals and where we need to be to love within the planet boundaries. Otherwise if it is just a matter of reducing impacts to 0, then we might as well all commit suicide?"
Jessica Mitchell,3,"I was expecting more environmental actions. While kindness and mindfulness are wonderful, I don't see how they help the environment. What about using sustainable products including beeswax wraps, giving plantable Christmas cards etc instead."
Johana May,5,This app really helps you stay connected and do something good to help the planet and around us I am very surprised by the interaction it manages to remind us and make us more responsible every day!
Sanjay Tiwari,5,"This is amazing, simple and impact full. Way to learn and contribute towards sustainable future for yourself, society, country and next generations. Let's do our part... $t"
Nard Malijan,5,That's a great app. Highly recommended
