userName,score,content
boo belles,2,"It's a good browser, but I have to uninstall it for the same reason I did google. What's the point of an environmentally friendly browser if they use AI, even if voluntary. To me it seems like the company does not actually care or want to defend it's stance on the environment in favor of pandering to AI dudebros."
Pradyumna Kavatarapu,5,"One of the best browsers on Android, particularly for people concerned about the environment and climate. Also has decent privacy policy (much better than most American companies stuff like Chrome and Edge). Would love an option to keep my address bar at the bottom of the screen like some other browsers do (like Firefox, Edge and DDG browser) or an implementation like Brave Browser would also be fine. TIA!"
chew yu qiao,5,"overall, this is a really good app and helps to protect our climate, but I really hope it would expand planting trees in countries like South East Asia, Brunei, Malaysia, Thailand etc"
Kevin Dlst,1,"there's a bug; whenever i done downloading things, check it on my files data and close the browser, it's sometimes got deleted for no actual reason. the datas i downloaded just poof gone to nowhere. i tried to prove ny point so i randomly download a song, check it again on my data (it's there), i close my files data, then close the ecosia browser: then the song is gone. it's really annoying, please help."
Orange,5,a really good search engine! it's cool to have an easy access in taking part for the environment. my only problem is that sometimes I have to keep resubmitting captcha when I'm looking for something but other than that good app! the search engine give a variety of webs and searches and I especially love the option to pick which area you want the results from makes studying and case building easier
seez mi,5,"Ecosia is truly amazing. It takes real measures to help the planet through such a smart way. The browser is great. Although it was a little hard to get used to, the thought of its impact is more important to me. The browser also has ad blockers which makes it really nice to use."
Kelsey Sheumaker,5,"I love the whole concept of a web browser that focuses on conservation efforts - every search plants a tree! I also REALLY appreciate that the AI generated summary for search results is optional. Google forcing it on its users without an option to turn it off is another reason why I left it in favor of Ecosia. This browser has treated me well, and I've enjoyed using it."
Lady Jean Canabe,4,"it's nice because it's a eco-friendly version of Google, but it also lacks features unlike the Google that I've been used to like the search bar, and there's no suggestion when your searching fofr something, and it woud also be more good if it's in a website type unlike an app because it's more efficient while in app it just add more storage,, but overall it's nice, nice app👌"
Music,5,good app good for the environment and even has widgets because my phone needs a Google widget on the front 5/5 recommend and will judge u if you don't use this search engine
Derek,5,"Works better than other browsers and helps the environment too, what's not to love?"
Mason M-K,5,I ❤️ Ecosia. Use the browser on PC too!
Michael T. Martinez,4,"The Ecosia search engine has its shortfalls, but if what you need doesn't come up then typing in a different search engine's address is a small price to pay to support Ecosia's mission."
Rhi Lambert,3,"Overall, I like the app, I think the design is good and really like the environmental aspect. However, the search engine itself is very lacklustre and struggles to find results for simple searches, forcing me to use other browsers instead."
Amy Connolly,4,"I love ecosia but unfortunately I have to keep deleting the app and then redownloading it because after a have it for a few hours or maybe a day, every time I press the app button to enter the browser it doesn't open. It will be available for a split second then cut back to my main screen. My phone is 6 years old so I'll take that into consideration but this same occurance hasn't happened with other web browsers like Chrome or DuckDuckGo."
Abby Mae,2,"i enjoyed the idea of helping the environment with my searches but I have to uninstall as im sick of the ""verifying if you are human"" every time i want to search anything. yes im a human. you literally dont need to verify at ALL. why does it matter? just show the results. also the results just arent up to par with google at all. that i could deal with if i wasnt constantly having to verify my humanity in order to search anything. im not looking up nukes, im looking up movies and celebrities."
Alice Afiri-YT,5,"Amazing, I recommend it for everyone <33"
joy ꣑ৎ,5,"i love the ad blocker feature, so satisfied! :3 i can watch more without the annoyance of ads while also helping the environment. starting today i'm using this as my main browser! thanks for making this app and planting trees. y'all slayed this app!"
sanaa fageeh,5,samething like Google just reduces carbon foot print and plants trees while using renewable energy and removing C02 more people should know about this 😍
Toxic Neko,5,"Gave to a 5 star rating for the time being. The idea sounds revolutionary, and if its actualy true, more power to them! hope their company grows and they'll be able to provide more trees than the trees being cut down (first part written in 2018) after YEARS and years with ecosia, ive not had any issues that i kept having with others. they are HANDS DOWN, the best you can get. USE ECOSIA TODAY AND HELP THE ENVIORNMENT"
Grand Master,5,"After a year of using Ecosia, I can say it’s more than a search engine—it’s a tool for change. Every search helps plant trees, with over 1M trees planted in the Philippines! 🌱 The app is fast, user-friendly, and includes an ad blocker to stop annoying ads. It’s privacy-focused and eco-friendly. If you want a hassle-free app that makes a real impact, Ecosia is a must-download. 🌍🌴"
Ian Valee,5,Best browser app to support the EU and the environment. They're even developing an EU search index!
Mahedul Islam,4,It is great to plant trees.Interface is also user friendly and looks good.But there is a major issue!Ecosia Password Manager can save password only when signing up.I can not save password when I want.It must be solved.edit:An another issue!It has no system to login or sign in.I can not get my passwords and activity back.
Diya,5,It's a great step towards the environment
Ankita Gurudutt,1,"there is an AI chat option... which is so ironic. what is the point of having an Earth friendly browser if you're gonna use AI anyway, which reportedly causes so much environmental damage?"
Arishna,3,"cool app! i was sick of the Google ai feature giving me false information whenever I looked something up.... but, what's w the ai chatbot thing? maybe I'm misinformed but isn't ai bad for the environment, odd for it to be a feature on an app that is supposed to help the environment"
Emma York,3,"I wish this was better. I dont want to use google and have used desktop ecosia before. But the app isn't great. You cant go back a page, it forgets what you've typed if you go out of the screen, the new page button is almost invisible at the bottom of the page and then you have to type at the top. The UI just isn't good. It also doesn't tell you how many trees you've planted which is surely one of the main points? I want to love it but it's disappointing."
Clint Mayer,4,"Would be nice if Ecosia had a dedicated search app for people that want to replace the Google experience on their home screens without changing default browsers. Right now I new tab search in Firefox but it would be nice if there was a dedicated search widget, an app with a slick presentation and some AI features."
Rio,4,"Hi, Im sorry to bother you, but I have one question when I switched to your platform. The problem is that you have AI chat povered by OpenAI, and isnt it kinda bad? Like AI is already ruining planet by using stressfully big amount of water to cool down their servers"
douglas berke,5,love help being able to help the environment
Rafael Romero,1,"Dejo de funcionar, no carga, queda la pantalla en negro al ir a Google o al usar el buscador de ecosia"
Kitt In,5,lovely app...does everything another search engine would..wish was available independently of the google platform though...love that it helps plant trees 🌳 🌲🌴🌿🍀🌱🌳🌲.. Simples! 😁✨️🙏🏽💚🌏...why not help the the planet rather than just another company!
Rodrigo Leiva E.,1,Something wrong with latest version. Ecosia finds nothing in some obvious cases.
Sanjeev singh,5,"Its Have a great user friendly platform.to browse anything we need, and Also its very compatible just like Chrome and Uc browser. This is the only browsers which utilizes 80% of the profit for tree plantation. I urge everyone to use ecosia only."
Jenavee Azurin Valenzuela,1,"I downloaded this because of its environmental cause, but ever since the new update, it keeps on freezing and I keep on losing my tabs."
Ann Wenger,5,"I love using Ecosia, watching the count of trees planted going up every day. Keep up the good work."
Dimitri C.,3,This is not the right method to add Ecosia as your default search engine in Firefox
Cobalt Cuttlefish,5,Is a good more sustainable alternative to google and other search engines. It is roughly the same layout although slightly different. However this is a small price to pay for being more sustainable.
Ash Ketchum,3,it has an ai function and ai wastes water which is ironic for an app that is trying to help the environment. Also first results were always ads for stuff
Rebecca Jeffries,1,Long time user of Ecosia here and the most recent update is genuinely making me lose all my patience. The app insists on opening to a brand new tab every single time I load up the app making me need to track down my original tab. This would not be such a big deal except for some reason I keep finding EVERY TAB RELOADED AND THE ORDER SCRAMBLED. I shouldn't have to click on every single tab to find were I was.
Melanie Brand,1,Says they care about the environment but has a Gen AI chat bot???
Fabian Orozco,4,"The impact of this browser is great. It helps reforesting our planet plus all its servers work with renewable energy. I didn't give it 5 stars because especially if you want to look for scientific pictures, graphs or scientific websites or articles, I don't recommend to use ecosia it won't show you all the results that Google might show you. The rest is all perfect."
Juliette Darling,1,"I have been using ecosia FOR 6 YEARS!!!! And I can't tell you how upset I am right now. They, over night, changed everything. First it was the new tabs, which was cool until it doesn't allow you to have 2 of the same website open? So instead of being able to click on my short cuts, I have to type it into the search bar whenever I need a new tab open. And now the ad block? I have so many ads I can't click anything! Wouldn't recommend."
Sofia S,4,"Good app and good goal it's fighting for, but I don't know why AI chat has been added, which is known to be environmentally harmful."
Apocalyptic Totality,5,Better and greener than Google in everyway! Never will I go back
Jim Buchanan,5,"Great mobile browser, supports the environment"
explore withme,5,first day of downloading Ecosia my husband uses it every day and I am rating for my husband five stars 28th February 2025 Friday love from Accra Ghana 🇬🇭🇬🇭
Freya Bolton,3,"New update has bugs - if I have a tab open with a Google search and open a second tab and try to go to google homepage for another Google search, it'll close the tab I'm on and go to the first tab. Please could you fix this"
Bretta Sanders,5,I've loved Ecosia since the first day a friend told me about it!
Heather,5,"Bye-bye, Google! This company is doing something besides lining their pockets, and I am 100% here for it. Thank you, Ecosia!"
HJ,4,I love what this is app is about. I wish I could easily see and leave reviews like Google offers but I'm still really pleased with it and I prefer the news updates on Ecosia. I'm NEVER going back to Google Chrome.
Kamilah Hadley,5,This has become my favorite and go-to web browser. The results are so much better than Google because they are not full of ads and (multiple) sponsored content.
Ethan Campos,5,"Love what Ecosia is doing. Ad blocker is a little finicky and it doesn't work on YouTube, but that's my only nitpick. The search engine is just about as good as Google."
J R,5,"I originally installed Ecosia because of yay trees ecology, but after one of the last updates it became legitimately my favorite mobile browser to use. It doesn't have any unnecessary features that would complicate the interface and that I personally do not need for mobile browsing (if there's work to do I mostly go to my PC for it and that is another matter entirely) and after Ecosia added tab grouping? I am in love. This is, as far as I am concerned, the best mobile browser on Google Play."
Stylianos Fazakis,3,"My main issues are: 1. I don't want another browser, 2. I don't want Google to keep earning money for ethical reasons(even though they probably offer the best results) say no to discrimination and deGoogle, 3.we could at least have an option to keep no history and close all tabs - I don't want another browser!(1.) Keep going though! We need to take care of our environment"
Igor Szutran,3,"Keeps opening new tabs instead of opening pages in the same tab, this used to not be a problem in like, 2023, when it started for links only, then images, but now whenever I open ecosia up it's always on a new homepage, in a new tab not the last page and i can't change it as a setting. It is so annoying that I am considering a different app and expecting to start a new cycle in the name of enshittification."
Kasfia Zahin,3,"I would love to use this as an alternative to chrome and google, but the issue is Ecosia doesn't have translation facilities and the app just gives me links to sites and articles rather than provide an answer in a box like Google does. I hope the programmers will bring about a change."
Siddhartha Mehta,5,I was using the Brave browser prior to installing Ecosia. The security and privacy of this browser are comparable to that of the Brave. The main advantage in using Ecosia is the extremely urgent and crucial cause that you will be supporting.
Jason,5,Planting trees by searching the web? 💚🌳🌲 It's a great browser and feels psychologically liberating to know profits from ads go towards the environment instead of greedy billionaire oligarchs. Highly recommended!
Benjamin,5,"Is good for downloading stuff and offers a clean experience. I personally use it with OceanHero, because OceanHero prevents downloads and thus protects me and Ecosia allows me to download what I need."
Heather Foster,3,"I just started using ecosia on my pc to avoid ai results, and I love it. It is pretty too! I really want to make it work on my phone as well, but the widget is so unsightly. I wish I could make it transparent. (It might be a conflict with my launcher, not sure) I would also love to see a mic button on the widget so I could use it like I do my google widget, and easily search things by voice."
F “Cosmosis” Cosmos,5,"The more people who use it, the more refined it will become. I love that they support and spearhead efforts of reforestation and tree planting. That alone is worth it to me."
Harry S. Anchan,1,"As much as I would like to use it to help the environment, it is woefully inadequate. To be able to see the History option I have to open up a page first, unlike other search engine apps. Also, there is no way to save a bookmark, or at least I don't see an option there. Moving to Ocean hero."
Rayan Fageeh,5,It's sooooo easy to use and it's a good way to do do a good deed while doing something you already need to do (It plants tress every 45 searches and produces renewable energy) totally recommend 👌 also it's easier for students like me cause the Ai they give helps me with my igcses 😅
Adrien Baumann,3,"I really love that there is a eco-friendly aspect to the app BUT, it's really not user friendly... you get so many tabs opened from your searches, you are sometimes asked to do a captcha for a simple search, the widget doesn't have voice control and the search engine is quite terrible... I would suggest to make some efforts on the user experience.... otherwise I like that there is an AI option. Please make this app better because I'd rather plant trees that give money to Google!"
Sapphire,5,"I always use my phone to search for random things, and having Ecosia is the best thing for that. I'm not bombarded with ads. And I'm happy knowing my search has some positive impact to even out my carbon footprint and help others. I hope Ecosia continues to grow in a positive direction. I also love the new AI chat, it's especially smart compared to other AIs, and it's fantastic at helping you understand how to be more environmentally friendly naturally. Keep up the good work, Ecosia team!"
Niels Daniël Ruitenburg,5,My fingers are getting greener with every click...💚
Dtoktor Bsv,5,Google bombs civilians ecosia plants trees
Prince Osuchukwu,4,This application has helped me utilize my eTasks workflow to plenish the e-Ecosy(stem)
Keano Van Uythem,5,"This is a very nice browser which feels on pare with the Luke's of Google, Microsoft, etc. You are also helping the planet just doing what you normally do, love it!"
Charles,5,"Brilliant alternative to Google, and helps to do good things for the planet! Amazing! I would highly recommend!"
TruckersRule “TruckersRule” Rule,1,I don't do nor recommend apps that force ads on ppl just to make the Dev look like a complete pos! I've got morals!
Magnus Widmer,5,"Amazing search engine. I don't think you should actually use the browser, I personally use the ecosia search engine with firefox, but I'm giving it 5 stars just to boost their business. I love this company."
Dileep,1,Why some of web pages won't visible In Ecosia but they're are Listings and visible In Google
Esther,5,I've been using Ecosia for all my web searches for several years. Kudos to the creators for your efforts to combat climate change. I spread the word with my email signature. Keep up the good work!
Pranav Kini,5,Great experience. Using the Ecosia web and app since 2 years
Ha Na,1,"Can't seem to use it, says there's a bug and crashes 2 seconds after I open a webpage despite clearing all caches, deleting, reinstalling, and updating :S"
Viric,4,I started using Ecosia as an AI free alternative to Google. Works great. Bloody concerning to see the addition of the AI chat tab tho. How does encouraging energy guzzling AI align with ecosia's planet care intentions? Its looking painfully incongruous rn
Isabel Green,3,"I'm kind of disappointed with the addition of Google to the image results, not only does it open a new tab when you select the images option, but it's not even Ecosia's image results, it's Google's. If I wanted Google integrated in my search engine, I'd just use Google. I kind of really liked to old formatting, as opposed to using Google."
Kevin Sisney,1,"Allows ads. Uninstalling soon. Uninstalled. This browser is not ready for prime time, way too many errors going on e.g sorry page did not load correctly try again later. Unacceptable. Don't even get me started on when you try testing videos from the youtube site for it loads ads instead of blocking them. You have definitely made an impact and its not actually for the trees. Wrong kind of green you're making..."
Sierra Van Beekum,1,"Get rid of the ai stuff!!!!! Ai is the opposite of environmentally friendly!!!!!!!!!!!!!! Also fix your image search bar, I have to click on the ai chat to even get the option to search images"
Natalie T,2,"i really liked ecosia for the years i used it, but now there are some aspects that ruin it. the image and news tabs are completely hidden, you now have to go into the ai chat tab to find them, and i can't figure out another way around this."
Kevin Sisney,2,I guess this will be my final review of the browser. Zero responses to anyone's reviews. This blacks out a lot and i mean a loooot! Half the time google pages black out. And by blacking out i mean it will load blank pages either black or white and the only way to resolve this? Is close browser or refresh the page. Ecosia you have fallen.
Chelsea Childers,5,"I've been using ecosia for years, and I love it. I have a lot of medical conditions that require frequent research, and I get way better results."
Toni Fairbairn,5,"A nice clean app. I'm not getting all the trashy ads for Temu and Amazon, etc, forced upon me. This browser actually gives you the results you search for. If I am searching for something that's what I want. I am much happier with Ecosia than the very commercial browsers, I find it saves time."
Topher Mohegan,5,"Greatest browser in human history point blank period! 💯💯💯🙏🏾🙌🏾 With every breath I am at the edge of my seat for what they do next! Infinite potential to be had and I am all for it. I mean it's already the best so nothing to worry about being worse when it's already the best. Only adding new innovative, enhancing, and engaging feature or capabilities. Thank you Ecosia TRULY!!"
carelessfrog,5,"Great, eco-friendly browser, love the look of it as well :)"
Noah Bühler,3,"Great app, Ecosia is great, as you actually have a negative carbon impact where searching for stuff. The app works as it should on my Phone. But on my Tab S8 ultra, it constantly crashes where opening the app. I need to open the app like 5 times before it propperly loads with all my previous tabs. (Before that it just loads a new tab, and closes itself after like 0.5 seconds.)"
Boyan Chongov,5,"Lovely, our planet really needs help❤"
anneeq008,2,"Although I love the ethical credentials of this browser and I've been using it for the best part of a decade. This has been incredibly buggy for the last month or two. Links are becoming invisible, webpages keeps quivering. It's deteriorated a lot. You need to fix it!!"
Tanmoy Sarkar,5,"Choose Green 💚🍏, Choose Ecosia Help Green Our Planet"
Mohit Mishra,5,"I have been using this browser since a yaar. From my experience more than 95% of the time, it gives the same search results as Google. So it's better to use ecosia, since you will also make environmental impact. Just a few times it takes a little more time to open some websites. Rest all is fine"
MOHIT MEENA,3,Important Features which are missing first import of My Passwords and second export and import of My bookmarks. 📈📈📈
Janet Phone,5,"Ecosia works just like other browsers (Chrome, Safari, Firefox, Edge) but instead of adding to Google's profits when you search, they plant trees on your behalf when you use Ecosia to search."
Dat,4,"This app is phenomenal. I appreciate what Ecosia is doing, except for the usage of AI. Please consider allowing users to limit the functions and data collection that the AI program uses/collects. This would probably be beneficial for marketing and users."
maja sibag,5,The app is very helpful and also has a good advocacy which is protecting ang restoring the planet earth
Andi Suwito,5,"Very good and fast browser. And more, it's Green and environmental friendly."
Erisa Demiri,5,"I have been using Ecosia for the past 3-4 years and I am satisfied with the privacy, speed, interface, font of this app. It is satisfying to use. There is no downside, as it uses ad revenue to environmental aid."
Skeleton in your body,1,"You implementing ai has proven that you dont truly care about environment. You know how much ai takes from environment just to do what it does yet you implement it in your own app, yikes."
James Crowfoot,3,It is good for the environment and is a decent search engine but the top 2-3 search results are sponsored results which result in a poor browsing experience
First Last,5,We only have 4 years in the climate clock!!! Where dead!!
CatboyFanboy (Catboy66),4,"Now whyyyy does this app have an AI feature. Isn't AI bad for the environment? What's up with that, ecosia?"
Mateus,5,Save the environment and plant some trees! :)
Ethan,3,Last time I used this app was in 2018 Since then it seems like everything about this has become subpar from what it used to be. Where is the personal tree planting tracker? Focusing on collective help rather than individual seems like a great way to get people to uninstall your app despite the noble cause. I planned to start using ecosia again until finding out I don't get my personal stats which is so lame and doesn't incentive me to search extra. Pre update 5/5 - post update 3-4/5
Michelle Broderick,5,It's always great for trees to grow l love ❤️ 😍 to see them. As you know they are also good for the environment
izzy !!,5,"It's a great place to browse, and the best part is that you're making an environmental change just by browsing! You can't go wrong with this app ;) thank you Ecosia for helping nature!! We appreciate it! ♡"
Kim Conway,4,"I'm never sure how to rate search results when it feels like I wouldn't know if I'm missing detail that I'd get with other apps. But I prefer to continue with Ecosia as I really respect their general ethics. And I'm so glad that my phone will let me open facebook links with their app with only about 4 extra steps. If FB used Ecosia as a default setting, I'd probably be happier though and they'd definitely get to plant more trees."
Afshin Rezaei,2,Told me this is about green world but I didn't see anymore
Hannah Fluffgirl,5,"Ecosia app is really good‼️ But add photo picture like in other search engines, it will really help! Thanks"
haira,5,a very useful app!!! i use ecosa more than my chrome.. doesn't have any viruses🫶🏻
Samuel Guevara,5,Nature 🌟
Lisa Golden,2,"Do I have to uninstall and reinstall to make it work better ? It says Ecosia is not responding do you want to wait or close app ? It was a better browser even 3 years ago. It is getting more and more unreliable on my ( 2 different ) Android Tablets and my Android Samsung Smartphone . Still using this but it still stops for no good reason . I would change browsers but don't want to lose all my years of favorites , bookmarks etc."
teshager abebaw,3,"I don't see any significant difference in the basic architecture of this apk from Google Chrome. 🤔🤔 It makes me wonder if Google is expanding its tracking operations on countries advocating natural resource conservation using this apk. But If you have an interest in natural science or environmental conservation, this might be of interest to you. Personally, since I didn't see any basic differences from Chrome, I chose to add the search engine to my DuckDuckGo instead of installing the browser."
Umang Gupta,3,YouTube background playback doesn't work on Android in Ecosia
Chris Chambers,1,Ecosia web instructions to import my data including passwords is wrong. The start panel with a lead to import data doesn't show and no lead into from browser settings. De installed. I don't want 103mb update downloads with a browser that cannot do what it's devs say it can do re importing. Not with my net connection data limits or somewhat limited phone app space.
kayan thomas,4,"I really like this browser. I've been using it for years because of its claim to help the environment and I hadn't even noticed how convenient it was until I tried using some other browsers. The sites I visit tend to have a lot of pop-up ads but because of the ""block annoying ads"" feature I didn't even notice them. It wasn't until I visited those sites on other browsers that I realized how frequent those ads actually popped up. I gave 4 stars though as it tracks my location even if I don't want"
Ingrid Pepler,5,Ecosia is amazing. It's an excellent browser and then there's the added bonus of knowing that you are helping to save planet earth
milo,2,The objective that Ecosia has is admirable. My problem is the limited search results to answer what you ask. In the past it was indicated how many trees you've planted with your search revenue.
Samanta D'Aversa,1,I've been using this browser for years but the choice to implement AI chat (which we all know is currently putting strain on the power grid and increasing our emissions exponentially) is making me seriously reconsider my support.
Tal Turgeman,3,"The idea behind the browser of planting tree is amazing and I will use this browser as my secondary browser, but the ad blocker and search results is pretty bad, I use brave browser as primary until this browser improves and than definitively rather use this app to help the cause"
Saoirse Ivy,1,"Ever since I updated this app, all that I've experienced is incessant lagging. I still have to refresh/reload the page even though it's unnecessary. I also have to deal with the app logging out OR starting over again after I switched to another app and go back to Ecosia again. Please fix this ASAP."
Kyla R,5,"coming back here now that Google has implemented the stupid AI overview tool that burns up unnecessary power and gives useless information, ecosia is a great alternative that actually does good"
Camyl Grayzel Abagat,1,"Keeps crashing after 2 seconds of opening, restarting phone doesn't work as well as clearing cache or data"
Shyanne O'Donnell,3,"I actually love this app. I love being able to group like tabs in one area. One for shopping, one for news articles etc. the reason for the 3 stars is I pinned my fitness application from the ecosia browser to my home screen. While trying to remove it I accidentally deleted the whole app. I lost all of my bookmarks(46) and every single one of the tabs I had open(about 74). I am really upset and its highly unlikely I'm gonna use the app again."
Claire Voyce,5,"Everyone should use this. Search results just the same as everyone else's. The only difference is that this is making a huge positive impact on the planet. I didn't believe it at first, so I checked. Each individual that uses this produces benefits for the planet. There's no loophole. They don't share servers so their servers are all powered by renewables. There's no reason not to and a few billion reasons why you should."
For Service,5,Best app to plant trees and fight Climate change while you search Thank you so much Ecosia! :)
Raghed Khaled,5,I liked the idea of the app it is really creative and helpful for our environment
Samantha Flores,5,I love ecosia! Never going back to using any other browser. I love my privacy and fast downloads.
Celine RocaM (Nel),2,"Lowered my rating because while I love this browser for its cause and what it fights for, it has become absolutely useless since a couple days and can't find a single thing I'm asking. I'm French, I tried searching in French and English, changing the default region to France or other countries, in vain. The browser keeps telling me there's no result to my research while others easily find it. I don't want to let Ecosia go, but as of now, it's of no use to me. :("
Nikita Agrawal,5,We entirely support your purpose!!!! ❤️💪🏻 I wish ecosia could get more and more famous! Get 100 millions of downloads
John Collins,3,"I want to recommend this to people I know, but the AI chat feature makes me hesitate. The exorbitant energy & water requirements of AI datacenters runs highly counter to Ecosia's mission, no? As for the tool itself, I'm skeptical. The Help Center page on the AI chat instructs you to fact-check the results. I don't think a search engine should be using a notoriously incorrect & misleading tool on its platform at all! It's sketchy at best, and using it comes with tangled ethics & copyright issues."
Kathy Fugazzi,5,I love to be able to plant trees by searching great search engine. But the data is kind of a problem but I still love ecosia
Meka Taylor,3,"I love it, however adding an ""ai chat"" section in the name of greener searching when Ecosia cannot confirm whether the third party they are using for their ai chat function is even sustainable!"
Anushka Shavinda,5,Better app.easy work.so I recommend this app to U
Patricia Bitavarra,5,I really love Ecosia since I love nature. The reason why I'm using this app it's because for my country 🇵🇭. I really hope this app plants trees for every search I make because this is the least I could do for mother nature. Thank you for making such app.
Ted Maxa,1,Does not allow to take pictures of flowers to get the names of these flowers. Opening the app just open a kind of Ecosia webpage. Useless app
Rajesh kr M,5,Ecosia plz more work in INDIA..💐🙏🌻
Eyad Shady,5,i really like how its helping the environment in any way possible i would recommend to download it and lets save iur environment ❤️🟥🙏
jane wilde,3,Love the idea but Ecosia blocks so many links that it is causing a problem and I will need to go back to Google as my default
Nikolas Rucker,5,10/10 recommended GET this app. I love planting trees with my searches.
Val Havard,3,"Why, when I always use Ecosia, do I keep getting a banner on a website saying my CHROME browser has security issues and it isn't up to date, even though it is not meant to be using the Chrome browser. The Chrome browser, which I don't use, is up to date. I even uninstalled updates (I can't uninstall Chrome on my device) then did update. Yet a website still keeps showing a banner saying my CHROME browser has security issues and it isn't up to date, when I searched for the website using ECOSIA."
Gerry oavenga,5,I downloaded ecosia because it's so hot in Philippines
Camille Fafin,3,"I love the concept & tree planting, have been a user of ecosia since before the 1st million. The concept is based on advertising, and I've been increasingly frustrated at the adverts we see. Some of my searches leed to 0 ads, but oh well. What frustrates me most is Temu or Amazon ads There should be a ban on the like of them. They are there for profit, and exploitation. If we plant one tree when buying something off Temu, the world is still left worst off. ECOSIA, PLEASE select your advertisers."
Jared Dante,3,"It is very good for the environment, but I wish it had accounrs, so, if you accidently delete it, you can get your progress back, and also, when I try to get it in a group of other apps, it just dissapears."
Hiraya Solveigh,5,"this will be a good contribution to our mother nature, thanks for making this!"
Rajat Kumar Goswami,5,if what it is described is true then I am 100% going to browse from this search engine. let's save the planet.
Arend-Jan Franssen,5,Saving the planet combined with browsibg
LadyAJ,5,Works well. Ratings by watchdog orgs of Ecosia's mission success are favorable.
Pieter,1,"The preachiest browser I will never use. This browser has an advertisement that I essentially keep seeing every 5 - 10 minutes on YouTube, I can't escape it so here is to hoping a negative review will make it clear to Google's ad sense that I am not interested, I will not be interested and I am starting to become resentful after telling Google this through every tool available to me."
Franziska Weisgerber,3,"This app is a great way of helping the climate by making one small change. It has worked great for me for about four years but unfortunatley the ""ad block"" feature seems broken; no matter how many times I try, every single time I click on a new YouTube video I get ad after ad after ad. What a shame because ad blocking was the primary reason I switched to Ecosia. It has been like that for a few days and I hope it'll be fixed. HOWEVER: This app lets you look into their tree planting projects."
